"Model","Unit","Lesson","Word (EN)","Description (EN)","Word (ES)","Description (ES)"
"Grade 6",1,11,"Carbon dioxide","A colorless, odorless gas that is produced naturally when dead animals or plants decay and is used by plants during photosynthesis. Carbon dioxide is also released into the atmosphere by burning fossil fuels such as coal, oil, and natural gas.","Dióxido de carbono","Un gas sin color ni olor que es producido naturalmente por animales muertos o plantas deteriodadas, que es usado por plantas durante el proceso de fotosíntesis. El dióxido de carbono es liberado hacia la atmósfera por la quema de combustibles fósiles como el carbono, petróleo, y gas natural."
"Grade 6",1,11,"Hydrosphere","The water in or on the surface of the Earth, including the water of the oceans and the water in the atmosphere.","Hidrósfera","El agua en o sobre la superficie de la Tierra, incluyendo el agua de los océanos y de la atmósfera."
"Grade 6",1,11,"Geosphere","The crust and upper mantle of the earth.","Geosfera","La corteza y la capa superior de la Tierra."
"Grade 6",1,11,"Biosphere","The ecosystems of the entire Earth and the living organisms that inhabit them.","Biósfera","Los ecosistemas de la Tierra y los seres vivos que la habitan."
"Grade 6",1,12,"Atmosphere","The gaseous envelope surrounding the earth; the air.","Atmósfera","La capa de gas que rodea a la Tierra."
"Grade 6",1,12,"Biosphere","The ecosystems of the entire Earth and the living organisms that inhabit them.","Biósfera","Los ecosistemas de la Tierra y los seres vivos que la habitan."
"Grade 6",1,12,"Geosphere","The crust and upper mantle of the earth.","Geosfera","La corteza y la capa superior de la Tierra."
"Grade 6",1,12,"Hydrosphere","The water in or on the surface of the Earth, including the water of the oceans and the water in the atmosphere.","Hidrósfera","El agua en o sobre la superficie de la Tierra, incluyendo el agua de los océanos y de la atmósfera."
"Grade 6",1,16,"Carbon","A chemical element that is the building block of all life on Earth. In a pure state, carbon exists as graphite or diamond, but it is also a major component of fossil fuels like coal and oil. Carbon exists in gases such as carbon dioxide and methane.","Carbono","Un elemento químico que es el componente principal de la vida en la Tierra. En su estado puro, el carbono existe como grafito o diamante, pero también es un componente mayor de combustibles fósiles como el carbón y el petróleo. El carbono también existe en gases como el dióxido de carbono y el metano."
"Grade 6",1,16,"Fossil fuel","Fuel created by natural processes. Fossil fuel can form when plants and animals die and are gradually buried by layers of rock. Over millions of years, different types of fossil fuels (e.g., coal, oil, and natural gas) form.","Combustible fósil","Combustible creado por procesos naturales. El combustible fósil se puede formar cuando las plantas y los animales mueren y gradualmente van siendo enterrados entre capas de roca. Durante millones de años, diferentes tipos de combustibles fósiles (como el carbón, petróleo, y el gas natural) se forman."
"Grade 6",1,16,"Greenhouse gas","In an atmosphere, a heat-trapping gas that absorbs and emits radiation within the thermal infrared range.","Gas de efecto invernadero","En la atmósfera, un gas que atrapa calor y absorbe y emite radiación dentro del rango termal infrarojo."
"Grade 6",1,16,"Carbon emissions","When we burn fossil fuels such as coal, oil, and natural gas to generate electricity or power our cars, carbon emissions are released into the atmosphere and then form carbon dioxide.","",""
"Grade 6",1,20,"Insulate","To reduce the transfer of heat through some protective materials. For example, a jacket can insulate a person from the cold.","Aislar","Reducir la transferencia de calor por la vía de materiales protectivos. Por ejemplo, una chaqueta puede aislar a una persona del frío."
"Grade 6",1,20,"Constraints","Limits to what you can do as build something, such as money or materials.","",""
"Grade 6",1,20,"Criteria","The requirements of the design that are needed in order to be successful.","",""
"Grade 6",1,26,"Prototype","The first model of something from which other forms are copied or developed.","Prototipo","El primer modelo de algo a base del cual otras formas son copiadas o desarrolladas."
"Grade 6",2,7,"Fossil fuel","Fuel created by natural processes. Fossil fuel can form when plants and animals die and are gradually buried by layers of rock. Over millions of years, different types of fossil fuels (e.g., coal, oil, and natural gas) form.","Combustible fósil","Combustible creado por procesos naturales. El combustible fósil se puede formar cuando las plantas y los animales mueren y gradualmente van siendo enterrados entre capas de roca. Durante millones de años, diferentes tipos de combustibles fósiles (como el carbón, petróleo, y el gas natural) se forman."
"Grade 6",2,7,"Kilowatt-hour (kWh)","kWh is a unit of energy and stands for 1000W * 1 hour, or in words, using a 1000 watts of energy for one hour. It`s a very common unit of energy, and typically what is used in everyone`s electricity bill.","Kilowatt - hora (kWh)","kWh es una unidad de energía y representa 1000W por 1 hora, o en otras palabras, el uso de 1000 watts de energía en una hora. Es una unidad muy común de energía, y típicamente es usada en el recibo de luz."
"Grade 6",2,7,"Renewable resource","A resource that can be produced, regrown, or reused fast enough to keep up with how quickly it is used. For example, wind, solar, and tidal energy are renewable resources since they will last virtually forever.","Recurso renovable","Un recurso que puede ser producido, regenerado, o volver a ser reutillizado tan rápido como es utilizado. Por ejemplo, el viento, la energía solar, y la energía mareomotriz son energías renovables porque durarán para siempre."
"Grade 6",2,7,"Smart meter","A smart meter is usually an electronic device that records consumption of electric energy in intervals of an hour or less and communicates that information at least daily back to the utility for monitoring and billing.","Medidor inteligente","Un medidor inteligente usualmente es un aparato electrónico que archiva los registros de consumo de energía en intervalos de una hora o menos y comunica esa información al menos una vez por día a la compañía de electricidad para monitoreo y facturación."
"Grade 6",2,8,"Baseline","A minimum or starting point used for comparisons.","Punto de partida","El punto mínimo o base usado para comparaciones."
"Grade 6",2,8,"Conservation","The act of preserving, protecting, or wisely using biodiversity, environment, and natural resources.","Conservación","El acto de preservar, proteger, o sabiamente usar recursos biodiversos, del medio ambiente, o naturales."
"Grade 6",2,8,"Watt","A watt is a measure of the instantaneous energy usage (power).","Watt","Un watt es la unidad de medición utilizada para medir el uso de la energía instantánea (Potencia eléctrica)."
"Grade 6",2,10,"Average","The sum of a list of numbers divided by the amount of numbers in the list. Average can also refer to the median, mode, or other central or typical value.","Promedio","La suma de una lista de números dividos por el total de números en la lista. El promedio también se puede referir a la media, moda, u otro valor central."
"Grade 6",2,12,"Behavior change","Behavior change can refer to any transformation or modification of human behavior.","Cambio de comportamiento","El cambio de comportamiento se puede referir a cualquier transformación o modificación del comportamiento humano."
"Grade 6",2,16,"Controlled variables","Factors that stay the same for all groups throughout a scientific investigation.","Variables controladas","Factores que permanecen igual para todos los grupos durante una investigación científica."
"Grade 6",2,16,"Dependent variable","The factor being observed in a scientific investigation.","Variable dependiente","El factor observado durante una investigación científica."
"Grade 6",2,16,"Independent variable","The variable that is changed in a scientific investigation. For example, time is often an independent variable.","Variable independiente","La variable que cambia durante una investigación científica. Por ejemplo, el tiempo es usualmente una variable independiente."
"Grade 6",2,19,"Solar angle","How high the sun is in the sky relative to the ground.","Ángulo solar (de incidencia)","La altura de el sol en el cielo en relación con el suelo."
"Grade 6",2,19,"Solar orientation","The alignment of a building relative to the sun.","Orientación solar","La alineación de un edificio relativo al sol."
"Grade 6",2,20,"Thermal mass","The ability of a material to absorb and store thermal (heat) energy.","Masa térmica","La habilidad de un material de absorber y almacenar energía termal (calor)."
"Grade 6",2,29,"Evaluation","The structured analysis of predicted or actual impacts of proposals or results.","Evaluación","El análisis estructurado de predicciones o de los impactos o resultados de las propuestas."
"Grade 6",2,30,"Iteration","Repetition of a process or procedure that typically is used to get closer approximations to the solution of a problem.","Iteración","La repetición de un proceso o procedimiento que es típicamente usado para acercarse a la solución de un problema."
"Grade 6",2,30,"Revision","Implementation of changes that correct or improve something.","Revisión","La implementación de un cambio(s) para corregir o mejorar algo."
"Grade 6",2,31,"Performance","The accomplishment that a program, model, task, item, or plan, has had in achieving its stated objectives, goals, and planned activities.","Ejecución","El logro de un programa, trabajo, objeto, o plan que obtuvo sus objetivos, metas, y actividades planeadas."
"Grade 6",2,32,"Demographics (population)","A statistic characterizing human populations (or segments of human populations) broken down by age, gender, income, ethnicity, and occupation, among other characteristics.","Demografía (población)","La estadística que caracteriza a poblaciones humanas (o segmentos de población humana) separada por edad, sexo masculino o femenino, ingresos, etnicidad, ocupación, entre otras características."
"Grade 6",3,5,"Anemometer","An instrument that measures wind speed by catching the wind in a container, causing the base to turn.","Anemómetro","Instrumento utilizado para medir la velocidad del viento, capturando el viento en un contenedor."
"Grade 6",3,5,"Barometer","An instrument that measures the air pressure of the atmosphere.","Barómetro","Instrumento que mide la presión del aire en la atmósfera."
"Grade 6",3,5,"Humidity","A measure of moisture in the atmosphere.","Humedad","Variable utilizada para medir la cantidad de vapor de agua en la atmósfera."
"Grade 6",3,5,"Precipitation","The process by which water falls to the ground due to gravity. Examples include rain, snow, and hail.","Precipitación","El proceso por el cual el agua cae al suelo debido a la gravedad. Ejemplos incluyen lluvia, nieve, y granizo."
"Grade 6",3,5,"Rain gauge","An instrument that measures the amount of rain that has fallen in a particular place.","Pluviómetro","Instrumento que mide la cantidad de lluvia que ha caído sobre un lugar."
"Grade 6",3,5,"Temperature","A measure of the concentration of the internal energy of an object due to the kinetic energy of its particles.","Temperatura","La temperatura es la medida de la concentración de la energía interna de un objeto debido a la energía cinética de sus partículas."
"Grade 6",3,5,"Thermometer","An instrument that measures temperature by allowing a liquid inside the thermometer to expand as it gets warmer or contract as it gets cooler.","Termómetro","Instrumento que mide la temperatura, al dejar que un líquido dentro del termómetro se expanda cuando está caliente y se contraiga cuando está frío."
"Grade 6",3,7,"Atmospheric pressure","Pressure exerted by the weight of the atmosphere; the force exerted by air molecules.","Presión atmosférica","Presión ejercida por el peso de la atmósfera; la fuerza ejercida por las moléculas de aire."
"Grade 6",3,7,"Wind","Movement of air caused by differences of pressure in the atmosphere due to the uneven heating of the Earth`s surface by the Sun.","Viento","El movimiento de aire causado por las diferencias de presión en la atmósfera debido a la diferencia en calentamiento de la superficie de la Tierra causado por el Sol."
"Grade 6",3,8,"Atmospheric pressure","Pressure exerted by the weight of the atmosphere; the force exerted by air molecules.","Presión atmosférica","Presión ejercida por el peso de la atmósfera; la fuerza ejercida por las moléculas de aire."
"Grade 6",3,8,"Wind","Movement of air caused by differences of pressure in the atmosphere due to the uneven heating of the Earth`s surface by the Sun.","Viento","El movimiento de aire causado por las diferencias de presión en la atmósfera debido a la diferencia en calentamiento de la superficie de la Tierra causado por el Sol."
"Grade 6",3,9,"Forecasting","Estimating the likelihood of an event taking place in the future, based on available data from the past.","Pronóstico","Estimación de la probabilidad de que un evento ocurra en el futuro, basada en datos disponibles del pasado."
"Grade 6",3,10,"Coriolis force","An apparent force caused by the rotation of the Earth. In the Northern Hemisphere winds are deflected to the right, and in the Southern Hemisphere, to the left.","Fuerza de Coriolis","Una fuerza aparente causada por la rotación de la Tierra. En el hemisferio norte los vientos son desviados hacia la izquierda, y en el hemisferio sur hacia la derecha."
"Grade 6",3,10,"Migration","The long-distance movement of a group of animals from one place to another. In most cases, their movement is seasonal and they go back to where they came from.","Migración","El desplazamiento de un grupo de animales de un lugar hacía otro. En la mayoría de los casos, su movimiento es temporal y regresan al lugar de donde vinieron."
"Grade 6",3,11,"Coriolis force","An apparent force caused by the rotation of the Earth. In the Northern Hemisphere winds are deflected to the right, and in the Southern Hemisphere, to the left.","Fuerza de Coriolis","Una fuerza aparente causada por la rotación de la Tierra. En el hemisferio norte los vientos son desviados hacia la izquierda, y en el hemisferio sur hacia la derecha."
"Grade 6",3,11,"Migration","The long-distance movement of a group of animals from one place to another. In most cases, their movement is seasonal and they go back to where they came from.","Migración","El desplazamiento de un grupo de animales de un lugar hacía otro. En la mayoría de los casos, su movimiento es temporal y regresan al lugar de donde vinieron."
"Grade 6",3,12,"Anticyclone","A large-scale circulation of winds around a central region of high atmospheric pressure. It rotates clockwise in the Northern Hemisphere and counterclockwise in the Southern Hemisphere.","Anticiclón","Circulación de vientos de gran escala alrededor de una región central de alta presión atmosférica. Rota en el sentido de las manecillas del reloj en el Hemisferio Norte y en el sentido opuesto de las manecillas del reloj en el Hemisferio Sur."
"Grade 6",3,12,"Cyclone","A large-scale circulation of winds around a central region of low atmospheric pressure. A cyclone rotates counterclockwise in the Northern Hemisphere and clockwise in the Southern Hemisphere.","Ciclón","Circulación de vientos de gran escala alrededor de una región de baja presión atmosférica. Un ciclón rota en el sentido opuesto de las manecillas del reloj en el Hemisferio Norte y en el sentido de las manecillas del reloj en el Hemisferio Sur."
"Grade 6",3,12,"Tornado","A tornado appears as a rotating, funnel-shaped cloud that extends from a thunderstorm to the ground with whirling winds that can reach 300 miles per hour. Or more simply, it is a violent, dangerous, rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud.","Tornado","Un tornado se presenta como una nube rotadora en forma de embudo que se extiende de una tormenta hacía el suelo con vientos que pueden llegar a las 300 millas por hora. O dicho de forma más sencilla, es aire violento, peligroso, y rotante que está en contacto con la superficie de la Tierra y una nube cumulonimbo."
"Grade 6",3,12,"Tropical cyclone","A “warm core” system fueled by the heat released when moist air rises resulting in condensation of water vapor contained in the moist air.","Ciclón tropical","Un sistema energizado por la liberación de calor cuando el aire húmedo asciende en la atmósfera resultando en la condensación del vapor de agua contenido en el aire húmedo."
"Grade 6",3,13,"High-pressure area","A region where the atmospheric pressure at the surface is greater than its surrounding environment.","Área de presión alta","Una región donde la presión atmosférica en la superficie es más alta que sus alrededores."
"Grade 6",3,13,"Low-pressure area","A region where the atmospheric pressure at the surface is lower than its surrounding environment.","Área de presión baja","Una región donde la presión atmosférica es más baja que sus alrededores."
"Grade 6",3,14,"Society","A group of people having a distinctive cultural and economic organization, as well as the manner or condition in which they live together for their mutual benefit. By extension, society denotes the people of a region or country, sometimes even the world, taken as a whole.","Sociedad","Un grupo de personas que se distinguen por su cultura y organización económica, así como también la manera o condición en la que viven juntos para su beneficio mutuo. En extensión, la sociedad también se denota por las personas de una región o país, a veces hasta el mundo entero es considerado una sociedad."
"Grade 6",3,14,"Weather","Description of the condition of the air and the atmosphere at a particular time and place.","Tiempo (Condiciones del Tiempo)","Descripción de la condición del aire y de la atmósfera en un tiempo y lugar particular."
"Grade 6",3,15,"Humidity","A measure of moisture in the atmosphere.","Humedad","Variable utilizada para medir la cantidad de vapor de agua en la atmósfera."
"Grade 6",3,17,"Forecasting","Estimating the likelihood of an event taking place in the future, based on available data from the past.","Pronóstico","Estimación de la probabilidad de que un evento ocurra en el futuro, basada en datos disponibles del pasado."
"Grade 6",3,18,"Climate","The typical temperature, humidity, precipitation, winds, atmospheric pressure, and other meteorological variables over a long period of time.","Clima","La temperatura, humedad, precipitación, vientos, presión atmosférica, y otras variables meteorológicas promedio sobre un largo periodo de tiempo."
"Grade 6",3,18,"Weather","Description of the condition of the air and the atmosphere at a particular time and place.","Tiempo (Condiciones del Tiempo)","Descripción de la condición del aire y de la atmósfera en un tiempo y lugar particular."
"Grade 6",3,19,"Ferrel cell","A major Earth atmospheric circulation pattern that consists of sinking air near 30 degrees north or south and rising air near 60 degrees north or south. This circulation pattern is directly connected to the Hadley cell.","Célula de Ferrel.","Un movimiento atmosférico mayor de la Tierra con un patrón ciruclar que consiste en el descenso del aire cerca de los 30 grados al norte o sur y el ascenso del aire cerca a los 60 grados norte o sur . Este patrón circular está directamente conectado con la Célula de Hadley."
"Grade 6",3,19,"Hadley cell","A major Earth atmospheric circulation pattern that consists of rising air at or near the Equator and sinking air at or near 30 degrees north or south of the Equator (0 degrees).","Célula de Hadley","Una circulación atmosférica que consiste en el ascenso del aire en el Ecuador o cercano a este, y de descenso del aire 30 grados norte o sur del Ecuador (0 grados)."
"Grade 6",3,19,"Polar cell","Circulation on Earth where air rises, diverges, and travels toward the Poles. The air sinks at the Poles, forming the Polar highs. At the surface, air diverges outward from the polar highs.","Célula polar","Circulación en la Tierra donde el aire asciende, diverge (separa), y viaja hacia los Polos. El aire desciende en los Polos, formando los altos Polares."
"Grade 6",3,20,"Altitude","The height (elevation) of a point in relation to sea level or ground level.","Altitud","La altura (elevación) de un punto en relación al nivel del mar o nivel de suelo."
"Grade 6",3,20,"Density","The quantity of mass contained in a specific volume.","Densidad","La cantidad de masa contenida en un volumen determinado."
"Grade 6",3,20,"Latitude","The location north or south in reference to the equator, which is designated at zero (0) degrees. Lines of latitude are parallel to the equator and circle the globe. The North and South poles are at 90 degrees North and South latitude.","Latitud","La ubicación norte o sur en referencia al Ecuador, que está designada a cero (0) grados. Las líneas de latitud son paralelas al Ecuador y ciculan alrededor del globo terráqueo. El Polo Norte y el Polo Sur están a 90 grados norte y 90 grados sur en latitud."
"Grade 6",3,21,"Leeward","Downwind, or towards the side sheltered from the wind.","Sotavento","A favor del viento, o el lado que está aislado del viento."
"Grade 6",3,21,"Rain shadow","An area that has dry conditions due to little amounts of rainfall because a mountain or a mountain range shelters it from rain-bearing winds.","Sombra orográfica (pluviométrica)","Área que consiste de condiciones secas debido a la poca lluvia recibida debido a las montañas o cadenas de montañas que no dejan pasar vientos que traen lluvia."
"Grade 6",3,21,"Windward","Upwind, or towards the side facing the wind.","Barlovento","De dónde sopla el viento, o que se dirige hacia el lado que enfrenta el viento (de cara al viento)."
"Grade 6",3,22,"Insolation","The amount of sunlight reaching a particular area.","",""
"Grade 6",4,3,"Reproduction","The process of making offspring, or new organisms.","Reproducción","El proceso de crear descendientes, o nuevos organismos."
"Grade 6",4,6,"Auditory","Having to do with hearing.","Auditivo","Relacionado con escuchar."
"Grade 6",4,6,"Behavior","An action, activity, or process that can be observed and measured.","Comportamiento","Una acción, actividad, o proceso que puede ser observado y medido."
"Grade 6",4,6,"Display","An action or other tangible behavior designed to communicate with other animals.","Indicador","Una acción u otro comportamiento tangible diseñado para comunicarse con otros animales."
"Grade 6",4,6,"Evolution","Changes in a species that take place over long periods of time.","Evolución","Cambios o transformación en una especie que ocurre durante largos periodos de tiempo."
"Grade 6",4,6,"Extinction","The end of existence for a species; the time after the last member of a species has died.","Extinción","El fin de la existencia de una especie; el tiempo después de que el último miembro de una especie haya muerto."
"Grade 6",4,6,"Genotype","The collection of genes passed from parents to offspring.","Genotipo","La colección de genes pasados de padres a hijos."
"Grade 6",4,6,"Natural selection","The process by which organisms that are more suited to their environment survive and reproduce most successfully; also called ”survival of the fittest.“","Selección natural","El proceso por el cual los organismos que se adaptan a su entorno sobreviven y se reproducen con éxito; también llamado la supervivencia del más fuerte."
"Grade 6",4,6,"Olfactory","Having to do with smell.","Olfativo","Relacionado con el olor."
"Grade 6",4,6,"Plumage","Long or fancy feathers.","Plumaje","Conjunto de plumas largas o elegantes. (e.g. El plumaje de un ave)."
"Grade 6",4,7,"Brood","A group of young birds that were born to the same parents at approximately the same time.","Cría","Un grupo de polluelos nacidos de los mismos padres aproximadamente al mismo tiempo. "
"Grade 6",4,7,"Burrow","A hole or tunnel dug in the ground by a small animal to live in or protect itself.","Madriguera","Un agujero o tunel cavado en el suelo por un animal pequeño, para vivir o protegerse asi mismo."
"Grade 6",4,7,"Den","The shelter or retreat occupied by a wild animal, often hidden.","Guarida","El refugio ocupado por un animal salvaje, usualmente escondido."
"Grade 6",4,8,"Model","A representation of an object, process, concept, or system.","Modelo","La representación de un objeto, proceso, concepto, o sistema."
"Grade 6",4,8,"Probability","The likelihood of something happening.","Probabilidad","Las posibilidades de que algo ocurra."
"Grade 6",4,8,"Simulation","Something that is made to look, feel, or behave like something else so it can be studied.","Simulación","Algo que se crea para que parezca, se sienta, o se comporte como otra cosa para que pueda ser estudiado."
"Grade 6",4,8,"Statistics","The science that applies the principles of probability to analyze variations in data.","Estadística","La ciencia que aplica a los principios de probabilidad para analizar las variaciones en la información o datos."
"Grade 6",4,11,"Asexual reproduction","Reproduction that does not involve the combining of male and female cells.","Reproducción asexual","Reproducción que no involucra la combinación de células masculinas y femeninas."
"Grade 6",4,11,"Bulb","The rounded part of some plants that grows underground and is capable of producing a new plant.","Bulbo","La parta redonda de algunas plantas que crece bajo tierra y es capaz de producir una planta nueva."
"Grade 6",4,11,"Rhizome","A thick piece of stem material that grows underground and produces both roots and shoots. Often found on grasses.","Rizoma","Pedazo grueso de células madre que crece bajo tierra y produce raíces y tallos. Se encuentra a menudo en pastos."
"Grade 6",4,11,"Spore","A small organism or a single cell that is able to grow into a new organism under the right conditions.","Espora","Pequeño organismo o una sola célula que es capaz de crecer como un nuevo organismo bajo las condiciones correctas."
"Grade 6",4,11,"Stolon","A horizontal branch near the base of a plant that can produce new plants. Sometimes called a “runner.” Found on strawberry plants.","Estolón","Tallo horizontal cerca de la base de una planta que puede producir nuevas plantas. Se encuentra en las plantas que producen fresas."
"Grade 6",4,11,"Tuber","A fleshy growth on a root that is capable of producing new shoots.","Tubérculo","Pedazo de tallo de una raíz que es capaz de producir nuevos tallos."
"Grade 6",4,12,"Dispersion","The spread of animals, plants, or seeds to new areas.","Dispersión","La separación de animales, plantas, o semillas a nuevas areas."
"Grade 6",4,13,"Dispersal","Scattering or spreading materials across a large area.","Propagación","La distribución de materiales separados en un área grande."
"Grade 6",5,3,"Landfill","A large area of land or an excavated site that is specifically designed and built to receive waste.","Vertedero ","Terreno o lugar excavado que está diseñado espeficiamente para recibir basura."
"Grade 6",5,4,"Organic matter","The material in waste that decomposes, or breaks down.","Materia orgánica","El material en deshechos que se degradan o se pudren."
"Grade 6",5,5,"Assembly bill","A proposed law created by elected state Assembly members (district representatives). A number identifies the bill.","Proyecto de Ley de la Asamblea del Estado","Proyecto de ley creado por los miembros de la Asamblea del Estado (representantes del distrito). Un número identifica la ley."
"Grade 6",5,6,"Watershed","An area or ridge of land that separates waters flowing to different rivers, basins, or seas.","Cuenca","Área o un pedazo de terreno que separa las aguas que fluyen hacia los diferentes ríos, estanques, o mares."
"Grade 6",5,7,"Evaporation","The process by which a liquid transitions to a vapor (gas).","Evaporación","El proceso en el que un líquido se convierte en vapor (gas)."
"Grade 6",5,8,"Condensation","The process by which a vapor or gas transitions to a liquid.","Condensación","El proceso en el que un vapor o gas se convierte en líquido."
"Grade 6",5,9,"Droplet","A very small drop of liquid.","Gotita","Una gota de líquido pequeña."
"Grade 6",5,9,"Precipitation","The process by which water falls to the ground due to gravity. Examples include rain, snow, and hail.","Precipitación","El proceso por el cual el agua cae al suelo debido a la gravedad. Ejemplos incluyen lluvia, nieve, y granizo."
"Grade 6",5,10,"Watershed","An area or ridge of land that separates waters flowing to different rivers, basins, or seas.","Cuenca","Área o un pedazo de terreno que separa las aguas que fluyen hacia los diferentes ríos, estanques, o mares."
"Grade 6",5,10,"Percolation","The process that happens when a liquid passes slowly through a filter, such as when water moves through the soil.","",""
"Grade 6",5,10,"Runoff","The draining of water (and the substances carried in it) from the surface of an area of land.","Escorrentía","Corriente de agua (y de las substancias transportadas en esta) de una superficie de terreno."
"Grade 6",5,14,"Eukaryotic cell","A cell that contains a nucleus.","Célula eucariota","Una célula que contiene un núcleo."
"Grade 6",5,18,"Concentration","The amount of material in a volume.","Concentración","La cantidad de un material en un volumen."
"Grade 6",5,18,"Diffusion","Movement of matter from an area of high concentration to an area of lower concentration.","Difusión","El movimiento de materia de un área de alta concentración a un área de baja concentración."
"Grade 6",5,18,"Osmosis","Passive diffusion of water.","Osmosis","La difusión pasiva de agua."
"Grade 6",5,19,"Selectively permeable membrane","A cell membrane that controls which materials may enter or leave a cell by crossing the cell membrane.","Membrana selectiva permeable","Una membrana celular que controla los materiales que entran o salen de una célula cruzando la membrana."
"Grade 6",5,24,"Organ","Different tissues working together to perform a specific function. For example, a heart is an organ.","Órgano","Grupo de diferentes tejidos que trabajan juntos para desempeñar una función específica. Por ejemplo, el corazón es un órgano."
"Grade 6",5,24,"Organ system","Different organs working together to perform specific functions. For example, the cardiovascular system is an organ system.","Sistema de órganos","Grupo de diferentes órganos que trabajan juntos para realizar una función específica. Por ejemplo, el sistema cardiovascular es un sistema de órganos."
"Grade 6",5,24,"Organism","A complex being made up of different organ systems working together to support the life of the organism.","Organismo","Un ser complejo compuesto de un conjunto de sistemas de órganos."
"Grade 6",5,24,"Tissue","Similar cells working together to perform a function. An example is muscle tissue.","Tejido","Conjunto de células similares trabajando juntas para realizar una función específica. Un ejemplo es el tejido muscular."
"Grade 6",5,31,"Organ","Different tissues working together to perform a specific function. For example, a heart is an organ.","Órgano","Grupo de diferentes tejidos que trabajan juntos para desempeñar una función específica. Por ejemplo, el corazón es un órgano."
"Grade 6",5,31,"Tissue","Similar cells working together to perform a function. An example is muscle tissue.","Tejido","Conjunto de células similares trabajando juntas para realizar una función específica. Un ejemplo es el tejido muscular."
"Grade 6",5,31,"Organ transplant","A surgical operation which moves a vital organ (such as a kidney) from one organism (the donor) to another (the recipient).","Trasplante de órgano","Una operación quirúrgica en la cual se remueve un órgano vital (como un riñón) de un organismo (el donador) hacía otro (el recipiente)."
"Grade 6",6,4,"Audience","A group of people listening to, reading, or watching something. The people may have a particular interest or background.","Audiencia","Un grupo de personas que escuchan, leen, u observan algo. Las personas en el grupo pueden tener un interés o una formación particular."
"Grade 6",6,4,"Sensory response","A response to a stimulus in the internal or external environment of an organism.","Respuesta sensorial","Una respuesta a un estímulo en la parte interna o externa de un organismo."
"Grade 6",6,5,"Brainstorming","The process during which a group of people generate a list of ideas.","Intercambio de ideas","El proceso por el que un grupo de personas generan una lista de ideas."
